Data	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)
25-abr-2010	7,6	5,3	6,9	5,1	6,9	5,8	6,7	5,8	6,9	6	5,4	2,6	2,6	3,6	5,3	4,7	5,4	4,5	3,5	4	4,3	4,2	1,1	0,5
26-abr-2010	5,7	6,5	4,3	4	5,1	5,5	5	4,8	5	4,8	2,2	1,6	0,6	1,9	2,4	2,3	4,2	2,6	1,7	5,1	6,2	4,9	3,5	4,3
27-abr-2010	3,5	4,1	3,8	4,2	2,9	4,2	4,3	4,8	3,4	2,4	3,6	3,5	4,9	5,3	6,8	6,5	5,8	5,8	5,1	5,8	4,9	3	2,1	2
28-abr-2010	2	2,1	1,7	2	2	2,1	1,7	1,8	2,1	2	2,1	1,4	1,7	2	2,3	2	2,1	2,7	2,8	2,8	2,2	1,9	2,4	1,9
29-abr-2010	1,1	1,1	1,3	2	1,5	0	1,7	2,2	2	2,2	1,6	1,4	1,9	1,8	0,7	1,8	2,6	2,8	3,6	3,2	2,6	2,8	2,1	2
30-abr-2010	1,9	1,4	0,8	2,8	3,3	2	1,4	1,7	2	2,1	1,7	1,4	1,9	2,6	1,7	2,1	2,6	2,8	2,4	2,4	2,6	1,6	2,2	0,8
01-mai-2010	1,1	1,2	1,6	1,4	1,3	1,5	1,6	2,9	1,9	1,4	1,6	3,9	3,1	3,2	4,2	4,6	4,3	4,8	3,7	3,6	1,9	0	1,4	2
02-mai-2010	1,8	1,7	2	1,2	2	1,9	1,1	0,9	1,5	1,1	1,3	0,6	0,4	0,8	2,2	2,4	2,7	3,8	3,7	3,4	3,9	4,8	4,7	4,5
03-mai-2010	4	4,6	2	1,5	1,6	1,5	3,1	3,7	2,3	0	0,9	2,8	2,4	1	1,4	0,5	2	2,3	2,2	2	2,5	0,4	2,5	2,2
04-mai-2010	2,1	0,7	0,8	1,8	1,2	0,8	0,7	0,9	1,4	0,6	0,8	1,1	2	2,2	1,8	2,1	3	3	3,3	2,4	1,4	0,1	1,1	1,5
05-mai-2010	3,1	3	2,8	3,7	3,7	2,9	2,7	3,3	3,4	3,5	3,5	3,6	3,9	4,4	5	4,5	4,6	3,7	3,5	3,8	2,1	2,1	2,2	2,5
06-mai-2010	2,7	2,7	3	4,6	5,5	5,4	5,6	6,5	5,2	5,9	5,8	2,9	3,7	6	6,3	5,8	5	4,9	5,1	5	4,5	2,4	0,8	1,3
07-mai-2010	1,5	2	1,6	2,3	2,9	2,3	2,8	2	2,8	2,1	2,9	2,8	3,5	3,1	2,5	4,9	4	3,3	3,9	5,2	4,6	5,2	6,5	7,2
08-mai-2010	6,3	6,7	5,4	5,1	3,6	2,6	2,2	1,7	2,6	3	2,7	3,1	3,9	3,8	6	3,7	3,8	7	8	7,7	6,2	4,4	2,8	2,8
09-mai-2010	3	2,8	2,9	3,1	3,3	2,9	3,4	4	2,1	4,9	2,8	1,9	2,8	2,5	2,9	6,9	5,5	5,5	4,6	6,8	4,1	4,1	2,2	3,6
10-mai-2010	2,9	2,6	2,4	3,8	1,9	1,7	1,6	3,8	2,5	2,7	2,7	1,9	1,9	2,3	3,1	2	2,5	2,4	3,9	3,4	3	3,3	3,9	2,1
11-mai-2010	5,5	3,3	2	2,6	2,7	2,3	1,6	1	1,5	3,7	3,5	3,1	2,2	0,9	1,6	2,8	2,5	2	0,6	1,8	2,2	2	3,3	2,7
12-mai-2010	2	2,5	0,5	1,8	1,6	2,3	1,3	1,8	2,6	4,2	8,9	9,4	12	13,1	9,5	4,3	8,3	6	7,4	5,6	4,8	6,6	7,1	6,6
13-mai-2010	7,7	7,8	7,2	5,2	5,9	6,1	3,6	4,1	4,5	2,1	2,5	2,2	2,6	1,7	3,2	2,8	3,4	4	2,8	3,3	3,4	3,3	1,6	0,6
14-mai-2010	0	0	0,1	0,1	0	0	0,6	1,3	0	0,6	0	1,1	0,6	1,5	3,1	3,1	3,2	4,2	4	5	6,4	6,3	6,9	5,7
15-mai-2010	5,5	5,9	5,9	6,3	3	3,1	5,2	3,3	4,5	5,1	4,1	5,7	3,4	3,7	4	3,3	3,3	3,3	3	3	2,5	2,6	2	1,4
16-mai-2010	1,2	1,1	0,8	0,6	1,6	1,5	1,1	1,5	1,5	2,9	3,7	5,6	4	3,9	6,2	6,4	6,7	6,1	5	4,9	2,7	3,8	4,1	3,9
17-mai-2010	3,1	2,9	3,1	3,2	2,9	2,9	2,4	2,5	1,3	1,6	1,4	1,1	1,6	0,4	1,6	2,6	3,9	4	3,9	4,9	4,6	6	5,1	5
18-mai-2010	6,7	6,6	6,9	7,2	7,2	7,3	10,7	9,1	6,4	8,1	10,5	10,6	11,3	11,4	13,9	15,1	13,3	15,4	15,6	16,3	14,3	11,7	10,6	10,5
19-mai-2010	9,2	7,4	10,6	3	5,9	6	3,5	3,5	5,1	4,7	5,2	3,9	5,6	7	6,8	6	4,8	6,2	5,8	6,4	5,7	6,4	6,4	4,8
20-mai-2010	4	4,2	3,8	3,7	4,2	4,4	4,6	4,2	4,5	4,3	5,5	3,9	5,3	4,6	5,2	4,5	4,6	5,2	6	4,9	5,3	4,4	3,7	3,1
21-mai-2010	3,1	2,6	2,4	2,9	2,4	3,4	3,2	3,4	2,7	2,4	2,8	2,3	3	3	1,7	1	1,7	4,2	3,9	6,2	6,2	4,6	5,2	5,9
22-mai-2010	4,8	5,8	6	6,6	5,4	5,2	6,1	5,1	5,8	4,7	3,8	3,9	3,3	6,3	4,7	5,7	5,8	8,2	8,5	9,2	7,8	7,3	7,4	7,4
23-mai-2010	7,3	9,9	9,9	8,1	9,6	8,4	7,2	9,6	7,3	7,2	8,4	8,2	7,6	8	6,6	8,4	7,8	8,4	7,8	7,1	8,7	9,6	10	9,4
24-mai-2010	9,6	10,2	10,4	9,4	8,1	10	12,1	11	10,8	11,6	13	12,4	10,7	9,4	7,9	9,6	8,5	6,5	9,1	10,5	6,9	3,9	3,5	8,5
25-mai-2010	7,2	5,2	5,7	4,3	2,4	1,6	0	1,9	0	0,7	0	0,4	3,5	3,5	2,9	3,1	4,6	4,5	5	5,6	5,8	4	2,5	3,2
26-mai-2010	3,5	2	1,8	1,5	1,7	2,4	2,9	3,5	2,5	2,7	2,5	2,6	3,1	3,3	3,7	3,6	3,3	4,1	3,4	4	2,8	2,5	2	1,9
27-mai-2010	1,5	1,7	2,1	1,6	1,6	2,3	2,2	2,3	2,4	2,3	1,7	2,3	2,9	3,2	3,3	3	1,5	1,6	1,6	2,1	3,9	8,1	6,9	7,7
28-mai-2010	8,2	9,7	10,5	10,9	11	11,1	10,6	10	10,9	10	10,4	10,6	11,4	9,2	8,3	7,9	7,2	7,5	7,4	7,1	6,2	7,1	9	8,7
29-mai-2010	7,9	9,5	7,7	7,3	7,5	7,1	7,6	6,8	5,2	6,9	6,7	5,9	5,4	6,1	3,6	5,9	6,2	5,6	2,5	1,8	3,6	4,2	4	4,5
30-mai-2010	2,9	1,6	1,5	2,3	2,2	2	2,2	3	2	2,2	6	5	1,8	1,2	2,6	1,1	3,5	3,8	6,3	5,5	7,2	6,9	6,1	9,1
31-mai-2010	6,7	6,2	6,3	8,3	8	7,7	8,1	8,7	8,7	7,6	6,8	5,6	6,1	5,6	5,2	4,8	5,9	5,5	7	5,9	5,4	3,9	3,9	3,2
01-jun-2010	3,3	2,4	2,4	2,1	2,4	2,5	2,4	2,7	2,8	2,3	2,7	3,1	2,1	4,1	4	2,9	1,3	2,5	2	2,8	3,1	3,7	3,6	4,6
02-jun-2010	5	5,7	1,8	1,4	1,5	1,9	1,7	1,9	1,8	2,1	1,7	1,9	2,5	3,7	4,9	4,5	5,7	6	6,8	6	6,8	6,5	5,3	5,3
03-jun-2010	4,9	4,2	3,9	5,5	3,1	4,7	5,7	3,7	5,1	5,4	7,6	6,7	8,9	6,5	7,1	8,1	8,1	7,1	8	7,8	7,9	7,6	6,7	7,9
04-jun-2010	7,8	5	6,1	5,4	5	4,3	2,6	2,9	2,9	4,5	5	5,4	5	5,9	4,9	3,1	3,1	2,1	2,4	2,1	0,3	1,3	1,4	1,8
05-jun-2010	2,5	3,7	3,6	4	5,3	4,6	4,6	6,4	5,6	6,7	5,3	6,4	7,2	7,4	8,4	9,2	8,1	8,5	8,5	8,5	6,5	4,6	4,2	4,4
06-jun-2010	4,7	5,2	5,7	6,2	5,9	6	5,7	5,5	4,4	4,1	4,2	4,7	5,3	5,6	5,6	5,7	6,7	5,3	5,3	4,7	3,3	3	1,2	2,8
07-jun-2010	2,3	2,1	1,7	2	2,2	2,2	2,3	2,5	2,1	1,9	3	2,8	2,4	2,5	3,9	3,4	3,5	2,8	3,3	3	3,7	2,7	2,5	1,7
08-jun-2010	2	1,8	1,8	1,7	1,7	1,8	2	2,1	1,9	1,9	2,2	2,4	3,4	3,2	4,3	3,7	2,9	5,3	5,2	6,5	4,8	4,3	6	2,6
09-jun-2010	3,1	3	2,9	2,3	2,7	2,8	2,9	2,5	2,8	1,9	2,8	2,7	2,4	3,9	3,5	3,7	4,5	2,7	3,7	3,9	3,4	2,1	2	1,8
10-jun-2010	2,2	2,3	1,9	1,9	1,8	1,9	1,9	1,6	1,6	1,8	1,9	1,8	2,4	2	1,7	1,3	1,8	2	1,9	2,4	1,2	2	2,2	5
11-jun-2010	13,5	13,4	12,9	12,2	11,5	10,4	10,2	11,5	10,8	10,7	9,1	9	8,9	10,7	12,3	10,4	9	9,9	9	10,1	9,4	9,8	9,2	8,3
12-jun-2010	10,5	10,6	11,3	10,1	9,6	9,8	5,5	6,7	6,6	6,8	6,1	7	7,5	8,4	6	7	6,8	10,8	10	9,7	10,4	9,1	8,3	7,7
13-jun-2010	7,6	9,1	7,2	6,6	6,7	7,4	6,3	6,1	7	7,1	7	5,4	4,4	8,5	7,9	6,7	7,9	8	7,4	6,4	6,4	6,2	7,1	6,7
14-jun-2010	6,6	8,2	6,8	7,4	6,9	7,2	8,3	8,1	7,9	6,6	6,3	7	6	6,2	7,6	8,5	7,7	8,8	7,2	6,3	7,2	7,5	7,1	7,5
15-jun-2010	8,5	5,8	6,3	5,6	6,6	5,2	4,7	5,7	4,3	3,6	2,1	1,9	0,3	1,4	1,9	2,5	2,7	2,5	2,3	2	1,1	2,8	2,4	2,9
16-jun-2010	2	3,3	3,3	2,9	1,4	1,6	2,8	1,4	2,4	0	1,1	0	2,6	1,6	1,4	2,1	1,4	0,9	2,2	2,3	4,5	4,2	4,7	5,5
17-jun-2010	4,9	6,3	5,4	2,5	2,3	1	1,1	4	6,1	6,4	4,8	3,8	4,3	4,4	4,6	4,4	4,1	4,8	3,8	2,6	0,6	0,3	0	0,6
18-jun-2010	0,9	2,4	2,6	3,3	3,8	5,1	8	10,1	10	8,2	9,9	6,6	6,6	4,1	6	8,2	7,3	7,3	6,2	7,5	6,4	6,9	4,8	4,2
19-jun-2010	1,5	2,1	5,1	3	4,6	4,9	7,3	5,2	5,3	6,1	3	2,8	4,2	3,2	3,3	2,8	1,3	3	2,4	0	1,4	3,1	4,4	3,4
20-jun-2010	4,7	4,2	5,4	4,3	3,3	2,3	3,1	3,5	3,1	2	2	1,8	3,2	3,3	3,9	4,2	5,2	5	5,6	4	4,1	3	2,4	2,6
21-jun-2010	2,6	2,7	1,8	2,2	4,2	3,6	2,5	2,2	1,9	2,7	3,1	3,8	4,4	4,1	5,4	4,3	4,8	5,1	5,1	4,7	3,6	3,9	3,3	2,9
22-jun-2010	3,5	2,8	1,5	2,3	1,8	1,6	1,6	1,7	1,3	2,1	1,7	2,5	4,1	3,6	5,5	6,1	5,7	4,7	3,7	3,1	0,7	0	0	0
23-jun-2010	2,4	2,5	1,8	2,3	2,1	2,7	1,7	1,8	2,3	1,8	2,6	1,8	4,6	5,5	7,7	8,2	8,9	9,8	10,8	10,5	9,3	8,8	10,2	7,8
24-jun-2010	7,9	8,5	9,1	9,9	9,9	9,2	8,1	8,9	8,1	7,4	8,1	8,6	8,1	7,3	7,8	7,1	5	5,7	6,1	4,8	4,4	1,4	1,2	1,8
25-jun-2010	1,6	2,7	1,7	2,5	3	3,6	4,5	4,2	2,6	2,2	1,6	2,3	3,9	4,7	5,3	3,6	3	2,9	1,1	2,8	2,4	2,8	3	3,6
26-jun-2010	4,2	4,2	3,4	3,7	5	5,1	3,9	2,7	7,5	7,5	8,5	5,3	2,5	3,8	4	6,3	4,6	5,5	7	6,2	7	7,5	8,7	8,2
27-jun-2010	7,4	7,2	6,7	6,3	7,5	7,6	7,3	4,8	6,2	3,7	4,6	3,2	0,6	4	3,8	4,3	4,4	3,9	3,9	4,1	2,3	3,1	1,5	0,3
28-jun-2010	2,1	0,9	2	2,2	1,6	1,5	3,8	4,7	3,7	2,8	4,2	3,9	5,1	4	4,6	4,3	4,1	4	3,3	3,5	2,9	2,7	2,7	1,6
29-jun-2010	0,8	1,1	1,2	1,1	0,9	0	0	0,2	2,7	3	3,5	3,9	4,4	5,5	5,6	5,6	6,1	5,4	5,4	5,4	5,2	4,8	4,9	4,8
30-jun-2010	4	1,6	1,4	1,6	1,4	1,3	1,8	2,6	3	2,5	2,1	1,3	1,5	1,2	1,9	2,4	2,7	1,8	2,5	2,5	3,3	4,5	3,7	3,5
01-jul-2010	3,8	3	4,4	4	3,8	3,1	2,2	0	0,3	0,8	0,3	0,5	2,1	2,4	2,4	3,1	2,7	3,2	3,9	4,5	4,7	4,7	4,7	4,7
02-jul-2010	5,1	5,2	5	5,2	5	5,5	5,1	5,5	3,6	2	2,9	3,9	3,5	3,7	3,4	3,9	3,8	3,4	2,6	3	2,3	2,4	2,8	1,6
03-jul-2010	1,3	1,8	1,7	2,1	3,2	2,4	1,6	2,1	0,2	0,5	0	1,4	0,1	0,1	0,6	1,3	1,7	1,9	2,3	2,4	2,4	2,4	1	1,9
04-jul-2010	1,7	2	2,7	2,8	2,5	1,5	1,8	2,6	3,2	3,3	3,3	3,2	3,5	3	3,2	3,2	3,5	3,4	3,7	4,4	3,3	4,1	4,1	4,2
05-jul-2010	4,1	5	5,3	3,8	5,2	5,8	5,5	5	6,2	4,5	2,9	0,3	2,2	4,1	5	4,9	5,6	6,6	4,3	4,8	5,9	4,4	5,9	7,1
06-jul-2010	6,3	5,3	5,5	4,3	4	3,1	1,6	1,5	0	1,1	1,3	0	0	0,1	1,3	0,1	0,1	1	2,2	3,2	2,6	3,5	5,1	3
07-jul-2010	1,1	2	1,6	2,2	0,2	0,4	0,7	1,2	0	0	0	0	2,7	2	1,3	2,6	4,8	3,6	3,6	2,7	2,3	1,6	2,2	1,6
08-jul-2010	2,4	3,6	3,3	3,8	5	3,8	3,8	3,2	2,5	3,3	3,5	3,2	4,3	4,2	4,1	4,5	3,5	4,2	3,4	3,4	1,3	0,7	1,3	1,1
09-jul-2010	0	2,8	5,2	6,6	6,8	5,1	6,1	7,2	8,5	7,3	6,6	5,4	0	1,2	4,5	2,5	3,9	4	3,4	3	1,1	1,4	1,6	1,2
10-jul-2010	2,3	1,8	2,6	2,3	2,1	2,2	2,2	3,1	2,8	3,3	2,3	1,7	2,5	2,2	1,9	2,6	2,4	2	2,9	3	4	4	3,3	3,7
11-jul-2010	3,6	4	3,8	5	4,9	6,3	6,6	6,1	5,2	6,7	7,5	7,6	7,1	6,2	6,7	7,5	8,2	7,2	7	6,2	6,7	7,1	7,2	6,4
12-jul-2010	6,4	8,2	6,1	7,4	6,8	2,9	1,3	2,2	2,6	0,8	8,9	1,2	1,8	1,5	2	2,2	3,2	2,2	1,9	1,3	0,1	0,8	5,4	6,8
13-jul-2010	8,9	7	4,8	5,5	7,1	6	7,5	7,8	6,9	6	6,1	5,1	9,2	10	7,6	8,4	8,3	7,2	6,7	6,6	6,1	3,7	3,6	4,3
14-jul-2010	3,8	3,2	2,8	2,9	2,6	2,9	3,8	3,4	3,7	3	2,7	2,6	4,8	5,7	7,6	6,6	6,4	6	6,5	5,8	5,1	3,6	3,9	2,1
15-jul-2010	1,9	1,8	1,5	2,4	2	1,9	1,3	1,8	1,9	1,7	2,1	1,7	2,2	4,6	4,4	4,5	4,9	5,3	4,8	5	4,9	3,9	3,3	3,1
16-jul-2010	3,1	2,7	2,7	1,8	1,7	2	1,7	2,9	3,1	2,2	3,1	3,7	3,1	3,5	3	4,5	4,2	3,4	2,8	3,4	3	2,5	2,3	3,9
17-jul-2010	3,2	2	1,9	2,2	2,1	1,5	2,3	1,5	0,8	0	4,7	5,5	4,2	1,5	3,2	6,2	7,4	7,2	6,6	6,8	6,3	6,4	7,5	7,2
18-jul-2010	6,7	7,4	5,9	5,9	6,4	5,8	5,7	5,5	6,4	5,9	8,2	8,8	9,1	8,4	7,9	9,4	8,5	10	9,4	8,6	9,1	13,5	11,8	10,9
19-jul-2010	9,9	11,2	12,7	11,5	11,3	8,4	8,5	10,4	11,4	14,4	13,5	10,9	12,5	12,7	12,4	6,6	6,8	4,3	4,1	4,2	4,5	5,1	4,3	4,5
20-jul-2010	2,8	5,2	3,4	2,2	4	2,4	1	2,7	1,8	2,4	0,2	0,3	1,9	3,4	5	5,1	5	4	3,5	0,9	2,2	3	5	6,5
21-jul-2010	6,9	7,9	7,4	6,8	7,4	7,9	8,4	7,4	7,3	10,1	7,9	8,1	7,7	6,8	7,2	6,3	7,4	6,2	4,8	5	7,3	8,7	7,5	2,4
22-jul-2010	4	0,7	6	4,9	5,2	5,8	6,3	5,8	4,2	4,3	4,3	4,4	3,5	3,2	2,8	2,6	2,9	3	2,9	3,4	3,7	3,5	2,7	3,3
23-jul-2010	3,3	3,3	2,3	2,2	1,6	2,6	3,6	4	3,9	4,1	3,5	2,4	3,9	4,4	4,4	5,2	5,5	4,6	4,2	2,9	2,2	1,9	2,9	3,6
24-jul-2010	4,8	3,8	4,6	6,1	6	7	8	9,1	8,4	8,7	7,9	8,4	9,3	9,5	10,1	9,5	11,4	11,3	8,7	9,4	9,2	8,2	8	7,2
25-jul-2010	9,6	7,3	7,7	7,6	8,8	8,7	7,7	6,6	4,9	8,1	6,6	8,1	7,1	6	6	6,6	10	6,5	6,1	7,4	0,4	4,3	5,5	4,6
26-jul-2010	5,3	7,7	6,5	7	5,7	9,8	8,3	5,7	4,8	5,6	4,9	5,5	6,6	7,3	5,9	7	6,7	5,5	5,5	5,5	4,1	3	1,5	0,7
27-jul-2010	2,3	2,2	1,8	2,3	2,4	2,5	1,2	1,6	1,4	0,8	1,8	1,9	0,5	0,4	1,5	2,1	2,9	3,6	4,5	5	5,9	7,8	7,4	7,9
28-jul-2010	7,5	8,8	9,2	8,4	8,9	9	8,2	8,9	9,4	9,5	8,6	7,5	7,4	6,6	4,2	4,1	4,3	3,9	3,3	1,8	2,3	2,6	1,9	2,7
29-jul-2010	2,5	2,7	1,7	0	0,2	3,7	2,5	3,6	2,8	1,6	1,5	0,9	1,9	3	3,9	2	1,7	1,7	2,4	2,4	2,4	2,7	2,9	3,7
30-jul-2010	3,6	4	3,4	3,2	3,6	4,4	4,5	5,3	5,5	5,1	5,7	7,5	6,9	7	7,6	8,3	9,3	8,7	8,4	6,5	6,9	7,7	7,6	7,5
31-jul-2010	6,9	8,6	8,1	7,5	5,8	5,8	4,6	5,1	4,2	3,4	4,5	6,8	3,4	9,1	4	4,6	1,9	2,8	3,2	4,8	3	2,5	2,7	6,3
01-ago-2010	4,7	2,9	2,5	1,5	3,2	3,6	3,3	5,2	3,8	5,1	5	3,9	3,8	4,3	6,6	6,3	6,7	6,7	6,1	5,3	4,2	2,9	2,7	2,4
02-ago-2010	2,1	1,9	1,5	2,1	3,7	2	2,9	3	2,1	2,8	2,3	2,8	3,8	4,7	3,9	3,1	2,8	4,2	4,1	4,2	3,6	3,2	2,6	3,4
03-ago-2010	2,8	3	3	3,2	2,9	3,5	3,5	3,4	2,8	3,1	2,2	2,7	4	3,6	5,3	5	3,3	3,5	7,9	5,7	5,4	4,8	3,9	3
04-ago-2010	3,1	4,2	4	3,7	3,3	3,2	3,3	3,5	2,2	1,7	2,4	3,8	3,2	5,5	5,1	4,9	4,6	3,3	NULL	4,2	2,8	2,5	3,2	2
05-ago-2010	1,4	2	2	2,3	2,1	1,7	0	2,9	2,3	2,3	1,9	1,9	1,4	1,6	2,6	3,3	2,8	3,2	4,4	4,7	4,5	4,8	5,4	4,1
06-ago-2010	3,3	3,1	2,5	1,8	1,2	0,5	1,8	1,1	1,9	0,8	0,8	1,1	1,4	1,5	0,2	1,9	2,1	2,2	3,5	3,5	4,9	6,3	7,6	7,4
07-ago-2010	5,8	4,8	5,7	5,9	5,8	6,5	4,6	4,8	6,3	5,5	3,1	3,9	4,9	4,2	5,1	4,1	3,7	2,3	2,5	1,2	0	0	0	1,8
08-ago-2010	2	1,6	3,1	3	2,3	2	1,8	2,3	1,7	0,6	2	2,1	1,6	1,4	2,1	2,2	3,5	1,2	2,8	2,3	3,2	3,9	3,9	4,2
09-ago-2010	5	4	3,2	3,8	3,5	3,4	3,4	3,5	3,2	3,3	3,4	3,3	3,9	4,8	5,1	5	4,5	4,4	4,2	4,9	4,2	2,8	1,7	1,6
10-ago-2010	1,6	0,8	1,1	0,6	0,7	0,4	1,4	1,7	1,7	1,8	0,8	1,1	0,2	1,8	2,7	2,7	2,9	2,9	3	2,8	2,9	4,1	3,7	3,6
11-ago-2010	4,7	4,5	4,4	3,3	3,6	4,2	4,5	4,4	3,4	3,9	5	5,4	5,8	5,9	6,3	7,8	7,4	6,9	7,7	8,4	7,3	7,4	8,5	9,9
12-ago-2010	8	7,6	8,4	8,1	8	8,2	6,9	8,5	8,6	7,7	7,9	7,4	8,4	6,6	8,2	6,9	7	5,5	4,8	3,5	2,7	3,4	5,5	7,1
13-ago-2010	8,6	7,7	5,9	1,8	2,9	0,5	2,3	3,9	6,8	6,3	6,7	7,6	7,5	8,8	11	11,1	12,1	11,6	11,8	9,7	9,5	9,2	8,6	8,9
14-ago-2010	8	7,5	6,6	7	6,4	6,7	5,3	5,4	6,5	5,6	5,9	5,5	7	6,3	7,2	8,5	9,2	8,5	7,1	6,4	7,8	5,2	3,6	3,7
15-ago-2010	3,5	3,6	3,6	4,2	3,9	4,2	4,7	4,6	5,3	4,3	4,2	4,6	5,3	5,5	5,2	4,9	4,1	4,2	4,6	4,3	3,5	3,5	2,5	2,1
16-ago-2010	1,5	1,5	2,1	0,5	0	0	0	0	0,1	1,2	3,6	3,9	4,5	4,2	5,7	6	4,3	5,2	7,5	8,2	7,9	7	4,2	6
17-ago-2010	5,4	7,5	6,3	7	8,4	5,6	3,9	5,3	6,1	5	5,4	5,1	6,4	6	6,8	6,9	8,6	7,4	6,7	8,7	6,9	6,7	7,2	6,8
18-ago-2010	7,8	7,5	7,9	7,9	7,1	6,8	6,1	6,4	6,6	6	6,2	6,6	5,3	5	3,9	4	4,3	4,8	4	3,5	3,4	3,4	4,1	4,9
19-ago-2010	4,4	3,9	4,2	5,2	5,7	4,2	3,8	3,9	3,4	3,4	2,4	1,6	0,8	1,3	2,7	2,9	3,1	2,3	1,5	1	1	0	3,2	2,1
20-ago-2010	2,4	1,8	0,4	2,8	2,2	3,4	3,1	2	3,3	3,2	3,7	3,9	4,8	3,6	3,7	5,5	4	3,4	2,8	1,4	1,9	2	1,8	2,1
21-ago-2010	2,5	2,1	3,4	3,3	4	4,3	4,9	5,3	5,6	5,3	6,2	6,1	6,3	6,1	5,8	5,4	5,3	5,5	5,2	3,9	4,1	3,9	3,7	3,4
22-ago-2010	3,3	3	2,5	2,5	2,2	2,4	0,5	1,1	1,7	1,1	0	0,4	0	1,5	1,5	2,2	2,4	2,7	3	3,6	3,2	2,8	2,8	3,2
23-ago-2010	4,4	4,9	5,4	5,9	5,3	4,2	5,9	5,6	4,2	5,1	4,9	5,5	6,6	6,6	5,9	5,3	4,6	3,9	4,9	3,6	3,6	3,6	4	5,6
24-ago-2010	6,4	5,1	5,9	4,7	3,7	3,4	2,2	2,9	2,5	0,5	1,6	0	3,4	1,4	3,6	3,3	4,6	3,5	8,1	4,8	4	3,7	4,5	4,1
25-ago-2010	3,9	3,4	3,3	3,9	3,1	2,5	1	0,3	0,2	0,9	0	0	0,2	2,3	5,5	4,2	4,8	5,5	8,1	8	7,6	8,8	6,6	7,1
26-ago-2010	6,7	7,3	6,9	4,7	5,2	3,5	2,6	3,4	0,8	1,3	1,3	0	0,9	2,8	2	3	4	4,9	4,7	4,3	2,8	2,7	2,2	1,5
27-ago-2010	0,6	0	0	2,5	1,3	1,3	3,3	5,6	5	3,7	5,1	3,2	4	4,8	6,6	4,8	3,6	2,8	3,8	4,6	2,4	4,1	3	3,6
28-ago-2010	1,8	3,6	4,2	3,9	4,2	3,5	4,6	4,5	8,1	6,3	6,2	5,2	7,5	6,3	6,9	7,1	6,3	7	6,6	8,5	6,8	4,8	5	6,7
29-ago-2010	5,4	5,2	5,3	4	4	6	5,4	3,8	2,9	0,5	2	3,1	1,2	0	1	1,4	2	2,8	2,4	0,6	6,4	3	3,8	4,2
30-ago-2010	4,1	3	3,8	3,8	3,6	2,3	1,8	2	1,4	0	2,8	3,1	5,3	5,7	3,7	9,2	6,6	5,7	8,7	8,4	7,4	6,9	7,8	10,3
31-ago-2010	10,2	9,3	10	8,6	8,5	6	6,8	7,9	9,1	9,4	8,7	8,7	9,1	9,2	8,9	10,3	9,7	9,8	9,9	10,9	9,3	6,6	6,6	7,6
01-set-2010	6,6	7	9	8,6	8,9	9,2	9	7,4	6,9	5,6	5,6	5,9	6,3	1,9	1,2	2,1	0,9	3,1	3,4	2,8	4,6	4,1	2,5	2,3
02-set-2010	1,7	1,2	1,8	1,3	1,9	2	1,4	1,5	0,2	0,9	0,8	1,9	3,2	1,3	1,1	2	2,4	2,9	2,4	2,3	0,4	4	2,1	3,2
03-set-2010	3,7	3	5,6	4,7	5,9	6,7	6,5	5,4	5,6	3,2	3,5	4,4	5	4,7	5,6	6	5,5	3,4	6,6	5,9	6,7	6,3	6,3	6,4
04-set-2010	5,8	5,7	4,3	3,4	1,8	1,3	3,5	3,4	6,3	6	6,4	6,5	6,2	6,6	5,1	6,6	7	6,1	7,2	6,2	6,6	7,8	8,1	7,2
05-set-2010	6,1	6,4	9,7	9,7	7,4	6,5	6,3	6,4	6	4,2	4,8	5	6,6	6,3	6,7	6,6	6,2	5,9	6,1	5,8	4,3	2,3	0	0
06-set-2010	1,6	0,9	1,3	0	1,3	1,8	0,8	0	0	1,2	0	0	2,3	2,8	4,1	4,7	4,9	6,3	6,6	7,5	7,7	8,6	7,9	7
07-set-2010	6,1	6,1	5,8	5	4,4	4,1	3,7	3,3	0,4	0	0	0,2	0	0,3	1,4	1,8	2,6	2,8	3,4	3,7	4	4,8	5,1	5,4
08-set-2010	5,6	6,5	6,7	6,8	6,6	5,9	5,8	6	6,1	6,1	6,1	6,1	5,2	6,6	6,2	5,7	6,3	7,6	7,9	7,3	6,8	7,2	7	6,8
09-set-2010	7,2	8,3	8,6	8,5	7	6,7	6,6	6,8	7,9	7,4	6,4	7,2	5,9	6,8	7	8,3	9,2	10,6	9,8	10,8	8,3	8,4	8,2	7,5
