Data	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)
28-jan-2009	6,2	7	6,8	7,4	6,8	6,5	5,9	5,6	6,7	3,7	4,2	3,8	3,8	4,1	3,8	7	7,8	6,8	7,2	6,8	7,7	6,7	7,1	7
29-jan-2009	6,6	6,4	5,8	6,4	9,8	10	8	6,9	6,6	2,6	3,8	4,3	4,2	2,9	3,1	2,7	2,9	0,7	1,9	1,8	2,8	2,8	2,8	5,1
30-jan-2009	5,1	4,3	4,7	2,5	0,3	0,3	0	0,5	0,5	0	0,1	1,6	2,6	3,5	5,9	5,9	4,2	3,1	4,1	3,9	2,7	5,2	2,8	4,4
31-jan-2009	3,8	3,8	3,2	3,1	2,1	0,5	1,3	1	4,1	2,9	5,7	6,1	7,7	7,8	8,6	8	8,6	9,9	7,7	9,2	7,6	6,4	6,5	3,2
01-fev-2009	2,5	1,6	0,1	0,9	1,2	2,1	0	0	0,3	0,8	1	3,6	4,8	4,4	3,6	2,2	2,6	3,3	3,2	2,9	1,4	2	1,7	1,4
02-fev-2009	1,5	1,3	1,3	1	2,7	2,6	2,5	3,1	2,8	3	3,4	3,3	2,9	3,5	2,6	3,7	3	3,4	3,4	5,2	5,2	5,5	5,1	5,5
03-fev-2009	6,6	6,6	7,2	7,6	6,2	6	6,9	7,7	5,8	4,5	2,1	4	4,7	5,4	4	4,4	5,1	4,6	5	5,9	5,8	4,8	4,1	4,3
04-fev-2009	3,9	5,2	4,3	3,7	4	1,1	0,1	2,6	3,9	2,6	3	4,2	4	4,9	4,9	6,5	5,4	6,6	9,2	5,9	4,7	5,5	4,7	3,8
05-fev-2009	4	2	1,8	1,3	1	1,6	1,2	1,7	1,5	1,3	1,1	0,4	1,6	2,1	2,9	3,6	4	4,8	5,2	6	7,4	6,6	7,1	6,5
06-fev-2009	7,1	7,5	7,6	8,7	7,6	7,2	7,4	6,6	7,2	6	6,4	5,7	6,3	5,6	5,5	5,2	4,4	3,4	3,6	3	3,5	3	3,1	2,4
07-fev-2009	0,9	0,1	1,3	0,3	1,3	0,9	2	0	0,1	1,7	2,6	3,3	5,3	4,8	3,4	4	4,9	6,3	4,9	4,5	1,7	2,1	1,4	2
08-fev-2009	2,7	1,8	1,7	1,9	1,7	1,6	1,4	0,6	0,7	0	0,4	1,7	2,5	2,6	2,1	2,5	3,5	3,2	3,2	3,4	3,5	3,5	3,3	2,6
09-fev-2009	2,3	2,1	2,2	2,7	3	3,1	3,2	2,7	4,2	3,7	3,4	2,6	2,5	3,4	3,9	4,2	4,8	4,7	5,5	5,9	6,1	4,9	5,1	5,1
10-fev-2009	6,5	6,6	6,7	7	7,1	7,5	7,2	7,1	7,5	7,5	8	7,8	8,1	7,9	9,5	9,3	9,5	9,5	10,4	9,4	8,7	9	9,2	7,9
11-fev-2009	8,9	10,5	9,5	10,3	9,5	9,4	9,3	8,4	8,2	6,7	4,8	5,3	2,2	1,8	1,4	2,4	4	5,1	6,5	8	6,8	4	1,3	2,3
12-fev-2009	0,5	3,9	1,8	2,8	3,5	4,2	3,3	3,8	3,5	3,7	4,3	4,5	5	4,6	3,4	4,6	6,1	5	5	4,1	3,1	3	2,6	2,8
13-fev-2009	3,3	4,9	5,8	6,2	5,7	5,7	5,3	3,4	3,7	2,9	3,4	3,1	3,9	4,3	4,6	5,5	6,2	6,3	7	7,3	6,4	7,3	6,3	7,1
14-fev-2009	6,9	6,8	6,7	6,5	7	5,8	5,7	6,3	6,4	4,2	4,2	4,4	4,4	4,8	4,9	5,7	5,5	5,6	5,9	7,3	6	6,4	6,8	6,8
15-fev-2009	7	6,4	5,8	5,2	5,1	5,3	4,1	5,3	5	5,5	4,5	3,2	2,9	2,8	3,5	4,2	4,7	5	7,2	6,3	7,3	6,1	5,8	6
16-fev-2009	6,7	5,7	6,8	6	4,5	6	4,8	3,9	4	4,9	5,2	3,9	4,6	5,8	5	6	4,3	3,8	3,4	2,5	4,2	5,5	3,5	3,2
17-fev-2009	3	3,6	4,4	5	3,5	4,4	3,1	5,6	3,5	4,2	5,8	4,4	6,2	5,3	4,9	3,8	3,2	3,4	5	3,5	5	4,1	3,6	3,6
18-fev-2009	2,2	3,1	3,6	3,7	3	3,7	4,7	4,8	3,8	3,7	1,3	1,8	2,6	2,4	3	4,3	4,3	6,5	5,9	6,8	6,4	5,4	5,6	5,3
19-fev-2009	7	4,1	4,3	2,9	2	2,5	5	4,9	4,3	3,4	5,2	4,1	4,2	3,8	3,7	3,6	4,2	4,2	3	3,5	3,2	3,5	3,5	3,8
20-fev-2009	4,3	3,6	3,7	3,3	3,3	3,6	3,8	4,8	5,5	2,9	3,5	3,2	3,6	3,9	3,1	2,2	4	3,5	4,1	4,1	2,6	2,5	2,7	2,2
21-fev-2009	3,1	2,5	3	0,3	1,1	1,8	8,6	2,6	5,4	3,7	0,2	2,2	1,1	2,2	1,9	5,3	4,4	3,4	3,8	3,9	3,8	2,6	1,1	0
22-fev-2009	0	0	0,1	1,1	0,1	0,5	1,1	0,6	0,3	0,1	0,7	2	3	3,1	2,9	3,8	4,1	3,8	4	3,8	4,6	4,9	4,6	4,7
23-fev-2009	5,8	5,8	5	4	5,2	2,9	1,1	3	0,6	2,9	1,2	2,1	1,2	0,6	0,9	5,7	4,2	4,4	6,5	6,9	4,5	7,3	1,8	2,4
24-fev-2009	2,1	2,9	1,8	1,4	2,3	2	1,7	2,3	2,4	1,9	2,6	2,3	3,5	3,9	3,7	4,2	4,6	4,7	4,2	6,6	8,1	4,6	1,2	7,1
25-fev-2009	7,2	7,2	7,5	7	7	8	8	9,2	8,2	7,4	7,6	8,4	4,8	3,9	6,5	9,4	7,4	7,7	6,5	4,8	8	6,3	7,3	7,4
26-fev-2009	6,8	8,5	10,1	9,7	9,2	9,1	6,2	6,1	5,8	6,2	6,8	5,8	5,7	6,8	6,6	6,4	5	4,7	4,9	3,2	3,8	2,7	4,7	1,9
27-fev-2009	2,4	2	2,7	2,6	5,7	6,7	6,5	4,9	5,2	4,1	3,4	4,3	2,8	1,6	2,7	3,3	5,5	7,9	7,6	9,9	7,1	5,3	4	4,5
28-fev-2009	4,7	5,6	5,2	4,9	4,5	4	4	4	3,9	2,6	3,6	3,9	3,1	4,2	3,9	4,3	4,9	5,5	5,2	4,9	4,9	4,9	4,7	5,3
01-mar-2009	4,9	4,4	5,7	5,3	5,4	5,8	5,9	5,7	5,5	4,7	5	4,4	5,1	4,8	4,3	5,2	5,5	4,8	6,2	4,2	4,5	5,7	3,1	3
02-mar-2009	3,8	5	2,3	2,5	1,4	0,4	0,9	0,6	0,8	0	3	2,6	2,2	0,6	1,5	4,6	3,5	2,7	4,3	1,8	3,3	3,3	2,7	3,4
03-mar-2009	2,2	2,5	2	2,3	2,9	2,5	2,6	3	2,9	2,5	2,9	3,2	2,7	2,9	3,9	2,8	2,9	2,8	3,1	3,3	3,1	2,9	2,5	2,2
04-mar-2009	2,3	2,7	3	3,1	4	3,8	4,1	4,7	5,9	4,5	5,3	6,4	6,3	6,1	6,6	6,6	6,4	7	7	7,4	7,4	7,5	8,1	8
05-mar-2009	8,6	8,2	7,9	7,9	7,3	6,6	2,7	2,5	4,1	3,8	3,7	5,4	6	7,3	9,1	8,6	10,5	11,3	9	9,9	6,8	6,5	8,2	5,3
06-mar-2009	6,3	4	4,8	4,9	4,5	4	3,6	3,7	4	4	3,6	4,6	3,9	3,9	4,1	5,8	6,9	6,6	5,1	6,2	6,1	5,5	5,2	4,5
07-mar-2009	2,6	3,4	2,9	2,1	2,9	2,7	2,4	3,2	2,9	1,2	0,7	0,3	1,7	2,6	3,6	5	6,3	6,8	6,9	7,5	7,9	8,7	9	9,1
08-mar-2009	9,1	8,6	8,8	7,9	8,9	9	9,7	9,3	8	8,3	8,2	9,4	8,4	5	6,9	8,3	6	10,9	11	11,9	12	12,1	11,6	8,1
09-mar-2009	9,3	7,5	7,6	7,1	3,4	5,1	5,8	4,7	3,7	5,9	4,7	9	10	8,9	10,6	10,9	9,2	6,9	6	5,7	5,7	8,6	7,3	8,8
10-mar-2009	9,9	9,3	8,2	9,9	9,7	9,1	9	9,4	8,7	8,4	8	8,1	7,8	8,9	9,4	10,6	10,3	8,5	10,5	10,1	10,4	10,3	9	11,5
11-mar-2009	11,7	10,9	11,8	10,4	10,6	10	8,5	6,1	8,6	7,8	4,9	5	4,8	5,4	4,3	4,2	4,6	4,5	5,4	5	5,3	2	1,4	3
12-mar-2009	2	1	0,2	1,3	0,7	1,2	2,3	2,1	0	1	0	1,1	2,1	2	3	2,3	3,9	4,1	1,5	1	2,4	0,7	0,8	1,3
13-mar-2009	1,6	2,4	1,6	0,7	1,3	0,9	1,7	2,2	1,2	1,8	2,5	3,5	4,8	6,2	5,7	7	6,3	7,4	6,7	7,4	6,8	5,3	4,7	3,6
14-mar-2009	3,7	3,2	2,8	3,7	3,2	4,2	4,3	4	4,2	3,8	3,5	4,9	5,1	7,5	7,6	8,1	8,3	8,9	6,8	6,5	4,9	2,5	1,8	1,9
15-mar-2009	2,4	3,2	3,1	2,3	2,7	3,2	2,1	2,7	4,3	1,8	1,7	2,5	8,1	3,9	3,1	6,1	5,9	5	4	4,5	6,9	4,2	4,7	3,2
16-mar-2009	2,4	2,6	2,2	2	2,2	2	2,1	1,7	1,4	0,5	1,3	1,3	2	1,4	2,1	2,2	4,2	3,8	4,4	5,1	6,1	7	7,4	8,8
17-mar-2009	8,3	8,2	5,9	5,7	5,4	6,8	5,6	7,8	7,1	2,7	3,6	3,8	4,6	3,6	5	6,1	5,4	6,8	8,1	7,2	5,4	3,6	2,4	2
18-mar-2009	1,3	3,2	2,6	2,7	1,7	1,6	2,2	2	1,8	2,3	1,6	1,5	0,6	1,3	1,2	2,7	3,5	4,3	4,4	4,8	5,4	6	7,4	7,7
19-mar-2009	8,1	8,9	8,9	9,3	8,3	5,8	5,9	6,5	5,9	6,1	5,6	6,2	5,7	6,1	6,7	6,7	7,3	8	8,6	9,3	9,7	10	10,7	10,1
20-mar-2009	9,2	10,1	9	8,7	8,7	8	8	8	6,8	6,9	6,8	7,5	7,6	7,4	7,1	6,7	7,1	5,2	6,4	7	7,4	6,3	7	6,4
21-mar-2009	6,6	7,8	6,5	7,3	6	4,6	4,3	3,3	3,3	4	3,3	3,9	4,3	4,7	5,4	5,9	5,8	6,1	6,5	6,4	6,7	6,1	7	7,1
22-mar-2009	7,1	6,6	6,9	6,8	7,6	6,4	5,6	5	4,4	4,3	4,2	3,4	3,9	4,5	5,2	5,2	5,9	6	5,8	7,2	7,6	7,3	6,9	7,4
23-mar-2009	7,9	7,3	7,6	7,8	8,2	7,7	6,5	6,5	5,5	3,1	3,6	2,8	3	4,1	4,3	4,2	4,3	5,1	5,3	5	5,4	8,4	7	7,4
24-mar-2009	6	6,7	6,8	6,6	5,7	5,9	6,9	6,2	4,7	5,4	6,1	5,8	4,9	4,6	4,4	4,3	4,3	3,2	3,3	3	3,1	3,2	3,4	3,2
25-mar-2009	5	5	4,3	4,3	3,8	4,2	4,1	3,9	1,2	1,2	1	1,4	2,2	2,7	3,4	3,4	4,5	5,4	5,9	6,4	6,9	7	7,8	7,4
26-mar-2009	8	8,7	8,2	7	7,7	7,7	7,3	7,2	5,9	6,8	7,1	7,5	7,1	8	8,4	8,1	8,1	7,1	7,6	6,9	6,9	6,9	7,1	7,4
27-mar-2009	6,8	7,3	6,5	6,2	7,6	8	7,1	7,6	6,6	6,1	6,1	5,6	5,7	5,5	5,5	5,1	4,3	4,3	3,5	4,1	3,1	3,5	3,2	4,5
28-mar-2009	1,7	3	2,1	2,6	2,5	0,6	1,9	0,7	1,9	2,5	2,9	2,3	3,4	3,9	3,7	3,7	3,6	3,2	3,1	2,4	2,8	2,3	2,8	2,5
29-mar-2009	2,9	3,1	3,9	3,6	2,3	2,8	2,5	1,7	1,1	0,6	1,2	1,8	1,6	1,7	2,2	2,9	3,2	4,6	4,7	4,7	5,1	4,5	5	4,6
30-mar-2009	5,3	5,6	5,2	5,3	5,8	5,3	4	4,2	2,7	2,5	3	3	2,7	3,2	3,7	3,5	3,3	3,5	3,6	3,7	4,3	3,8	3,5	2,9
31-mar-2009	3,1	3,2	4,1	2,9	2,8	2,7	1,6	1,5	0,4	0,1	2,3	2,1	3,8	4,2	3,3	3,6	3	4,7	7,4	8,7	7,7	4,8	2,3	2,7
01-abr-2009	2,1	2,4	2,4	2,4	1,9	2,2	1,5	2,1	6,4	6	6,7	8,5	6,8	8,3	7,1	7,8	5,9	4,9	6,7	5,9	5,3	5,3	5,4	5,4
02-abr-2009	3,9	3,4	1,2	1,9	1,9	1,9	2	2,1	2,4	2	1,2	2	0,3	3,5	4,7	6,1	6,1	7,3	8,3	8,6	9,7	9,2	9,4	9,5
03-abr-2009	9,2	8,3	9,6	8,2	7,9	7,8	7,3	5,9	7,7	7,4	6,4	5,5	6,1	5,4	5,5	6,4	6,3	7	6,9	7	7,7	6,9	8	7,8
04-abr-2009	8,3	8,2	9	8,4	7,5	8,2	9	6,3	7,9	8,3	4,6	4,8	2,9	2,8	4,2	5	5	5	5,1	6,1	5,7	5	4,7	4,2
05-abr-2009	5,1	1,6	2,2	0,7	0,8	0,1	3,7	2,1	2,3	2,6	2,8	2,8	2,6	4,1	4,2	3,1	3,7	2,2	2,9	3,4	2,7	1,3	1,6	3,1
06-abr-2009	5	4	4	3,9	3,1	4,4	3,5	3,6	0,9	0	0,5	2	1,4	1,7	2,7	3,1	2,8	3,4	3,1	2,8	2,7	3	2,9	3
07-abr-2009	3,7	4,4	4,2	4,4	4,1	4,2	4,1	2,1	1,5	1,3	1,5	1,1	1,5	2,1	2,6	3,2	3	3,2	3,7	6,2	4,7	4,1	3,9	4
